"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Oct 18 12:55:42 GMT 2023","Wed Oct 18 12:55:42 GMT 2023","118","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on UnAuth Role","","","TC_11.03.04_03_UnAuth  > Test buttons [Trade] on Widget ""Most traded"" on 'fr' language",""
"skipped","Wed Oct 18 12:55:42 GMT 2023","Wed Oct 18 12:55:42 GMT 2023","82","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on UnAuth Role","","","TC_11.03.04_02_UnAuth  > Test button [Try Demo] in Main banner on 'fr' language",""
"broken","Wed Oct 18 12:46:21 GMT 2023","Wed Oct 18 12:46:51 GMT 2023","30351","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares trading] on UnAuth Role","","","TC_11.02.02_03_UnAuth  > Test button [Sell] in the Banner [Trading Instrument] on 'fr' language",""
"skipped","Wed Oct 18 12:55:42 GMT 2023","Wed Oct 18 12:55:42 GMT 2023","77","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on UnAuth Role","","","TC_11.03.04_05_UnAuth  > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" on 'fr' language",""
"skipped","Wed Oct 18 12:56:02 GMT 2023","Wed Oct 18 12:56:19 GMT 2023","16463","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading]  on UnReg Role","","","TC_11.03.05_01_UnReg  > Test button [Start Trading] in Main banner on 'fr' language",""
"skipped","Wed Oct 18 12:56:19 GMT 2023","Wed Oct 18 12:56:19 GMT 2023","139","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading]  on UnReg Role","","","TC_11.03.05_04_UnReg  > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  on 'fr' language",""
"skipped","Wed Oct 18 12:55:42 GMT 2023","Wed Oct 18 12:56:02 GMT 2023","19149","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_01_Auth  > Test button [Start Trading] in Main banner on 'fr' language",""
"skipped","Wed Oct 18 12:55:08 GMT 2023","Wed Oct 18 12:55:21 GMT 2023","12685","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading]  on UnReg Role","","","TC_11.03.04_01_UnReg  > Test button [Start Trading] in Main banner on 'fr' language",""
"skipped","Wed Oct 18 12:57:41 GMT 2023","Wed Oct 18 12:57:41 GMT 2023","81","chromium","Education/US_11-03-05.spec.js","US_11-05-04_Education > Menu item [Swing Trading] on UnAuth Role","","","TC_11.03.05_04_UnAuth  > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  on 'fr' language",""
"broken","Wed Oct 18 12:51:10 GMT 2023","Wed Oct 18 12:51:40 GMT 2023","30360","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares Trading] on Auth Role","","","TC_11.02.02_02_Auth  > Test button [Try Demo] in Main banner on 'fr' language",""
"skipped","Wed Oct 18 12:57:41 GMT 2023","Wed Oct 18 12:57:41 GMT 2023","76","chromium","Education/US_11-03-05.spec.js","US_11-05-04_Education > Menu item [Swing Trading] on UnAuth Role","","","TC_11.03.05_07_UnAuth  > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" on 'fr' language",""
"skipped","Wed Oct 18 12:57:59 GMT 2023","Wed Oct 18 12:57:59 GMT 2023","106","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading] on Auth Role","","","TC_11.03.05_06_Auth  > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" on 'fr' language",""
"passed","Wed Oct 18 12:51:57 GMT 2023","Wed Oct 18 12:52:12 GMT 2023","15558","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares Trading] on Auth Role","","","TC_11.02.02_04_Auth  > Test button [Buy] in the Banner [Trading Instrument] on 'fr' language",""
"skipped","Wed Oct 18 12:56:19 GMT 2023","Wed Oct 18 12:56:19 GMT 2023","133","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading]  on UnReg Role","","","TC_11.03.05_05_UnReg  > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" on 'fr' language",""
"skipped","Wed Oct 18 12:57:58 GMT 2023","Wed Oct 18 12:57:59 GMT 2023","80","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading] on Auth Role","","","TC_11.03.05_05_Auth  > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" on 'fr' language",""
"skipped","Wed Oct 18 12:55:42 GMT 2023","Wed Oct 18 12:55:42 GMT 2023","90","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on UnAuth Role","","","TC_11.03.04_04_UnAuth  > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  on 'fr' language",""
"skipped","Wed Oct 18 12:56:02 GMT 2023","Wed Oct 18 12:56:02 GMT 2023","107","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_07_Auth  > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" on 'fr' language",""
"skipped","Wed Oct 18 12:55:21 GMT 2023","Wed Oct 18 12:55:21 GMT 2023","102","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading]  on UnReg Role","","","TC_11.03.04_03_UnReg  > Test buttons [Trade] on Widget ""Most traded"" on 'fr' language",""
"skipped","Wed Oct 18 12:57:59 GMT 2023","Wed Oct 18 12:57:59 GMT 2023","81","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading] on Auth Role","","","TC_11.03.05_07_Auth  > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" on 'fr' language",""
"skipped","Wed Oct 18 12:55:42 GMT 2023","Wed Oct 18 12:55:42 GMT 2023","78","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on UnAuth Role","","","TC_11.03.04_07_UnAuth  > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" on 'fr' language",""
"skipped","Wed Oct 18 12:55:21 GMT 2023","Wed Oct 18 12:55:21 GMT 2023","95","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading]  on UnReg Role","","","TC_11.03.04_04_UnReg  > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  on 'fr' language",""
"passed","Wed Oct 18 12:53:19 GMT 2023","Wed Oct 18 12:53:51 GMT 2023","32489","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares trading] on UnReg Role","","","TC_11.02.02_01_UnReg  > Test button [Start Trading] in Main banner on 'fr' language",""
"skipped","Wed Oct 18 12:57:22 GMT 2023","Wed Oct 18 12:57:40 GMT 2023","18071","chromium","Education/US_11-03-05.spec.js","US_11-05-04_Education > Menu item [Swing Trading] on UnAuth Role","","","TC_11.03.05_01_UnAuth  > Test button [Start Trading] in Main banner on 'fr' language",""
"skipped","Wed Oct 18 12:57:58 GMT 2023","Wed Oct 18 12:57:58 GMT 2023","90","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading] on Auth Role","","","TC_11.03.05_03_Auth  > Test buttons [Trade] on Widget ""Most traded"" on 'fr' language",""
"passed","Wed Oct 18 12:51:41 GMT 2023","Wed Oct 18 12:51:57 GMT 2023","15931","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares Trading] on Auth Role","","","TC_11.02.02_03_Auth  > Test button [Sell] in the Banner [Trading Instrument] on 'fr' language",""
"skipped","Wed Oct 18 12:57:58 GMT 2023","Wed Oct 18 12:57:58 GMT 2023","96","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading] on Auth Role","","","TC_11.03.05_04_Auth  > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  on 'fr' language",""
