"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 22 16:32:52 GMT 2023","Fri Sep 22 16:33:15 GMT 2023","22384","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading] on Auth Role","","","TC_11.03.05_04_Auth  > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  on 'en' language",""
"failed","Fri Sep 22 16:34:09 GMT 2023","Fri Sep 22 16:34:31 GMT 2023","22484","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading] on Auth Role","","","TC_11.03.05_05_Auth  > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" on 'en' language",""
"passed","Fri Sep 22 16:16:36 GMT 2023","Fri Sep 22 16:17:03 GMT 2023","27327","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_01_Auth  > Test button [Start Trading] in Main banner on 'en' language",""
"failed","Fri Sep 22 16:09:41 GMT 2023","Fri Sep 22 16:10:07 GMT 2023","25839","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on UnAuth Role","","","TC_11.03.04_01_UnAuth  > Test button [Start Trading] in Main banner on 'en' language",""
"skipped","Fri Sep 22 16:06:33 GMT 2023","Fri Sep 22 16:06:46 GMT 2023","12706","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading]  on UnReg Role","","","TC_11.03.04_02_UnReg  > Test button [Try Demo] in Main banner on 'en' language",""
"skipped","Fri Sep 22 16:15:55 GMT 2023","Fri Sep 22 16:16:12 GMT 2023","16738","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on UnAuth Role","","","TC_11.03.04_07_UnAuth  > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" on 'en' language",""
"passed","Fri Sep 22 16:12:34 GMT 2023","Fri Sep 22 16:13:01 GMT 2023","26948","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on UnAuth Role","","","TC_11.03.04_04_UnAuth  > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  on 'en' language",""
"skipped","Fri Sep 22 16:14:04 GMT 2023","Fri Sep 22 16:14:20 GMT 2023","16881","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on UnAuth Role","","","TC_11.03.04_05_UnAuth  > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" on 'en' language",""
"passed","Fri Sep 22 16:08:04 GMT 2023","Fri Sep 22 16:08:27 GMT 2023","23277","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading]  on UnReg Role","","","TC_11.03.04_06_UnReg  > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" on 'en' language",""
"skipped","Fri Sep 22 16:07:53 GMT 2023","Fri Sep 22 16:08:04 GMT 2023","10908","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading]  on UnReg Role","","","TC_11.03.04_05_UnReg  > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" on 'en' language",""
"passed","Fri Sep 22 16:31:20 GMT 2023","Fri Sep 22 16:31:43 GMT 2023","22798","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading] on Auth Role","","","TC_11.03.05_02_Auth  > Test button [Try Demo] in Main banner on 'en' language",""
"failed","Fri Sep 22 16:21:02 GMT 2023","Fri Sep 22 16:21:02 GMT 2023","498","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading]  on UnReg Role","","","TC_11.03.05_02_UnReg  > Test button [Try Demo] in Main banner on 'en' language",""
"skipped","Fri Sep 22 16:06:22 GMT 2023","Fri Sep 22 16:06:33 GMT 2023","11644","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading]  on UnReg Role","","","TC_11.03.04_01_UnReg  > Test button [Start Trading] in Main banner on 'en' language",""
"failed","Fri Sep 22 16:22:16 GMT 2023","Fri Sep 22 16:22:40 GMT 2023","23793","chromium","Education/US_11-03-05.spec.js","US_11-05-04_Education > Menu item [Swing Trading] on UnAuth Role","","","TC_11.03.05_01_UnAuth  > Test button [Start Trading] in Main banner on 'en' language",""
