"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 09 17:25:38 GMT 2023","Thu Nov 09 17:25:59 GMT 2023","21023","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading]  on UnReg Role","","","TC_11.03.05_05_UnReg  > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" on 'en' language and 'SCB' license",""
"passed","Thu Nov 09 17:10:15 GMT 2023","Thu Nov 09 17:10:30 GMT 2023","14968","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading]  on UnReg Role","","","TC_11.03.04_07_UnReg  > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" on 'en' language and 'SCB' license",""
"broken","Thu Nov 09 17:03:09 GMT 2023","Thu Nov 09 17:03:40 GMT 2023","30919","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares Trading] on Auth Role","","","TC_11.02.02_01_Auth  > Test button [Start Trading] in Main banner on 'en' language and 'SCB' license",""
"passed","Thu Nov 09 17:23:46 GMT 2023","Thu Nov 09 17:24:01 GMT 2023","15120","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading]  on UnReg Role","","","TC_11.03.05_01_UnReg  > Test button [Start Trading] in Main banner on 'en' language and 'SCB' license",""
"failed","Thu Nov 09 17:22:38 GMT 2023","Thu Nov 09 17:23:03 GMT 2023","24998","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_05_Auth  > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" on 'en' language and 'SCB' license",""
"skipped","Thu Nov 09 16:57:58 GMT 2023","Thu Nov 09 16:58:12 GMT 2023","13764","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares trading] on UnReg Role","","","TC_11.02.02_05_UnReg  > Test button [Start Trading] in the Content block on 'en' language and 'SCB' license",""
"skipped","Thu Nov 09 17:14:33 GMT 2023","Thu Nov 09 17:14:33 GMT 2023","1","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on UnAuth Role","","","TC_11.03.04_03_UnAuth  > Test buttons [Trade] on Widget ""Most traded"" on 'en' language and 'SCB' license",""
"skipped","Thu Nov 09 16:57:44 GMT 2023","Thu Nov 09 16:57:58 GMT 2023","13830","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares trading] on UnReg Role","","","TC_11.02.02_04_UnReg  > Test button [Buy] in the Banner [Trading Instrument] on 'en' language and 'SCB' license",""
"passed","Thu Nov 09 17:09:56 GMT 2023","Thu Nov 09 17:10:15 GMT 2023","19535","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading]  on UnReg Role","","","TC_11.03.04_06_UnReg  > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" on 'en' language and 'SCB' license",""
"passed","Thu Nov 09 17:21:08 GMT 2023","Thu Nov 09 17:21:35 GMT 2023","26531","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_04_Auth  > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  on 'en' language and 'SCB' license",""
"skipped","Thu Nov 09 17:34:52 GMT 2023","Thu Nov 09 17:35:11 GMT 2023","18651","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading] on Auth Role","","","TC_11.03.05_03_Auth  > Test buttons [Trade] on Widget ""Most traded"" on 'en' language and 'SCB' license",""
"passed","Thu Nov 09 17:07:10 GMT 2023","Thu Nov 09 17:07:24 GMT 2023","14041","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading]  on UnReg Role","","","TC_11.03.04_01_UnReg  > Test button [Start Trading] in Main banner on 'en' language and 'SCB' license",""
"passed","Thu Nov 09 17:26:19 GMT 2023","Thu Nov 09 17:26:34 GMT 2023","14567","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading]  on UnReg Role","","","TC_11.03.05_07_UnReg  > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" on 'en' language and 'SCB' license",""
"passed","Thu Nov 09 17:34:31 GMT 2023","Thu Nov 09 17:34:52 GMT 2023","20644","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading] on Auth Role","","","TC_11.03.05_02_Auth  > Test button [Try Demo] in Main banner on 'en' language and 'SCB' license",""
"broken","Thu Nov 09 17:31:15 GMT 2023","Thu Nov 09 17:31:45 GMT 2023","30420","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading] on UnAuth Role","","","TC_11.03.05_05_UnAuth  > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" on 'en' language and 'SCB' license",""
"failed","Thu Nov 09 16:59:16 GMT 2023","Thu Nov 09 16:59:41 GMT 2023","24567","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares trading] on UnAuth Role","","","TC_11.02.02_01_UnAuth  > Test button [Start Trading] in Main banner on 'en' language and 'SCB' license",""
"passed","Thu Nov 09 17:20:09 GMT 2023","Thu Nov 09 17:20:29 GMT 2023","19675","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_01_Auth  > Test button [Start Trading] in Main banner on 'en' language and 'SCB' license",""
"skipped","Thu Nov 09 17:01:51 GMT 2023","Thu Nov 09 17:02:12 GMT 2023","21330","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares trading] on UnAuth Role","","","TC_11.02.02_05_UnAuth  > Test button [Start Trading] in the Content block on 'en' language and 'SCB' license",""
"passed","Thu Nov 09 17:29:45 GMT 2023","Thu Nov 09 17:30:10 GMT 2023","25224","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading] on UnAuth Role","","","TC_11.03.05_04_UnAuth  > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  on 'en' language and 'SCB' license",""
"skipped","Thu Nov 09 17:01:32 GMT 2023","Thu Nov 09 17:01:51 GMT 2023","19200","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares trading] on UnAuth Role","","","TC_11.02.02_04_UnAuth  > Test button [Buy] in the Banner [Trading Instrument] on 'en' language and 'SCB' license",""
"failed","Thu Nov 09 17:09:35 GMT 2023","Thu Nov 09 17:09:55 GMT 2023","20690","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading]  on UnReg Role","","","TC_11.03.04_05_UnReg  > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" on 'en' language and 'SCB' license",""
"passed","Thu Nov 09 17:15:38 GMT 2023","Thu Nov 09 17:16:06 GMT 2023","28007","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on UnAuth Role","","","TC_11.03.04_04_UnAuth  > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  on 'en' language and 'SCB' license",""
"passed","Thu Nov 09 17:26:00 GMT 2023","Thu Nov 09 17:26:19 GMT 2023","19284","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading]  on UnReg Role","","","TC_11.03.05_06_UnReg  > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" on 'en' language and 'SCB' license",""
"failed","Thu Nov 09 17:17:11 GMT 2023","Thu Nov 09 17:17:39 GMT 2023","28454","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on UnAuth Role","","","TC_11.03.04_05_UnAuth  > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" on 'en' language and 'SCB' license",""
"passed","Thu Nov 09 17:37:21 GMT 2023","Thu Nov 09 17:37:42 GMT 2023","21264","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading] on Auth Role","","","TC_11.03.05_07_Auth  > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" on 'en' language and 'SCB' license",""
"skipped","Thu Nov 09 17:01:12 GMT 2023","Thu Nov 09 17:01:32 GMT 2023","19347","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares trading] on UnAuth Role","","","TC_11.02.02_03_UnAuth  > Test button [Sell] in the Banner [Trading Instrument] on 'en' language and 'SCB' license",""
"failed","Thu Nov 09 17:27:35 GMT 2023","Thu Nov 09 17:27:59 GMT 2023","23383","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading] on UnAuth Role","","","TC_11.03.05_01_UnAuth  > Test button [Start Trading] in Main banner on 'en' language and 'SCB' license",""
"failed","Thu Nov 09 17:04:49 GMT 2023","Thu Nov 09 17:05:14 GMT 2023","25572","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares Trading] on Auth Role","","","TC_11.02.02_02_Auth  > Test button [Try Demo] in Main banner on 'en' language and 'SCB' license",""
"broken","Thu Nov 09 17:00:41 GMT 2023","Thu Nov 09 17:01:12 GMT 2023","30442","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares trading] on UnAuth Role","","","TC_11.02.02_02_UnAuth  > Test button [Try Demo] in Main banner on 'en' language and 'SCB' license",""
"passed","Thu Nov 09 17:24:01 GMT 2023","Thu Nov 09 17:24:16 GMT 2023","14600","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading]  on UnReg Role","","","TC_11.03.05_02_UnReg  > Test button [Try Demo] in Main banner on 'en' language and 'SCB' license",""
"passed","Thu Nov 09 17:07:24 GMT 2023","Thu Nov 09 17:07:38 GMT 2023","14714","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading]  on UnReg Role","","","TC_11.03.04_02_UnReg  > Test button [Try Demo] in Main banner on 'en' language and 'SCB' license",""
"passed","Thu Nov 09 17:35:11 GMT 2023","Thu Nov 09 17:35:35 GMT 2023","23980","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading] on Auth Role","","","TC_11.03.05_04_Auth  > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  on 'en' language and 'SCB' license",""
"passed","Thu Nov 09 17:23:04 GMT 2023","Thu Nov 09 17:23:23 GMT 2023","19703","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_06_Auth  > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" on 'en' language and 'SCB' license",""
"skipped","Thu Nov 09 17:29:26 GMT 2023","Thu Nov 09 17:29:45 GMT 2023","19017","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading] on UnAuth Role","","","TC_11.03.05_03_UnAuth  > Test buttons [Trade] on Widget ""Most traded"" on 'en' language and 'SCB' license",""
"passed","Thu Nov 09 17:20:29 GMT 2023","Thu Nov 09 17:20:49 GMT 2023","20566","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_02_Auth  > Test button [Try Demo] in Main banner on 'en' language and 'SCB' license",""
"passed","Thu Nov 09 17:33:46 GMT 2023","Thu Nov 09 17:34:13 GMT 2023","26661","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading] on UnAuth Role","","","TC_11.03.05_07_UnAuth  > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" on 'en' language and 'SCB' license",""
"skipped","Thu Nov 09 17:05:15 GMT 2023","Thu Nov 09 17:05:30 GMT 2023","15262","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares Trading] on Auth Role","","","TC_11.02.02_03_Auth  > Test button [Sell] in the Banner [Trading Instrument] on 'en' language and 'SCB' license",""
"passed","Thu Nov 09 16:57:09 GMT 2023","Thu Nov 09 16:57:31 GMT 2023","22301","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares trading] on UnReg Role","","","TC_11.02.02_02_UnReg  > Test button [Try Demo] in Main banner on 'en' language and 'SCB' license",""
"skipped","Thu Nov 09 16:57:31 GMT 2023","Thu Nov 09 16:57:44 GMT 2023","13109","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares trading] on UnReg Role","","","TC_11.02.02_03_UnReg  > Test button [Sell] in the Banner [Trading Instrument] on 'en' language and 'SCB' license",""
"passed","Thu Nov 09 16:56:43 GMT 2023","Thu Nov 09 16:57:09 GMT 2023","25404","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares trading] on UnReg Role","","","TC_11.02.02_01_UnReg  > Test button [Start Trading] in Main banner on 'en' language and 'SCB' license",""
