"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 09 15:05:19 GMT 2023","Thu Nov 09 15:05:39 GMT 2023","19899","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_04_Auth  > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  on 'en' language and 'CYSEC' license",""
"skipped","Thu Nov 09 14:41:55 GMT 2023","Thu Nov 09 14:42:08 GMT 2023","12533","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares trading] on UnReg Role","","","TC_11.02.02_04_UnReg  > Test button [Buy] in the Banner [Trading Instrument] on 'en' language and 'CYSEC' license",""
"passed","Thu Nov 09 15:07:57 GMT 2023","Thu Nov 09 15:08:12 GMT 2023","14291","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading]  on UnReg Role","","","TC_11.03.05_02_UnReg  > Test button [Try Demo] in Main banner on 'en' language and 'CYSEC' license",""
"broken","Thu Nov 09 14:58:18 GMT 2023","Thu Nov 09 14:58:49 GMT 2023","30365","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on UnAuth Role","","","TC_11.03.04_02_UnAuth  > Test button [Try Demo] in Main banner on 'en' language and 'CYSEC' license",""
"passed","Thu Nov 09 15:08:28 GMT 2023","Thu Nov 09 15:08:45 GMT 2023","17146","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading]  on UnReg Role","","","TC_11.03.05_04_UnReg  > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  on 'en' language and 'CYSEC' license",""
"skipped","Thu Nov 09 14:51:59 GMT 2023","Thu Nov 09 14:52:15 GMT 2023","16385","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares Trading] on Auth Role","","","TC_11.02.02_04_Auth  > Test button [Buy] in the Banner [Trading Instrument] on 'en' language and 'CYSEC' license",""
"failed","Thu Nov 09 14:43:17 GMT 2023","Thu Nov 09 14:43:42 GMT 2023","24797","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares trading] on UnAuth Role","","","TC_11.02.02_01_UnAuth  > Test button [Start Trading] in Main banner on 'en' language and 'CYSEC' license",""
"passed","Thu Nov 09 15:18:40 GMT 2023","Thu Nov 09 15:19:02 GMT 2023","21895","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading] on UnAuth Role","","","TC_11.03.05_07_UnAuth  > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" on 'en' language and 'CYSEC' license",""
"broken","Thu Nov 09 14:46:10 GMT 2023","Thu Nov 09 14:46:41 GMT 2023","30352","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares trading] on UnAuth Role","","","TC_11.02.02_03_UnAuth  > Test button [Sell] in the Banner [Trading Instrument] on 'en' language and 'CYSEC' license",""
"skipped","Thu Nov 09 14:51:46 GMT 2023","Thu Nov 09 14:51:59 GMT 2023","13151","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares Trading] on Auth Role","","","TC_11.02.02_03_Auth  > Test button [Sell] in the Banner [Trading Instrument] on 'en' language and 'CYSEC' license",""
"passed","Thu Nov 09 14:41:00 GMT 2023","Thu Nov 09 14:41:22 GMT 2023","21044","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares trading] on UnReg Role","","","TC_11.02.02_01_UnReg  > Test button [Start Trading] in Main banner on 'en' language and 'CYSEC' license",""
"passed","Thu Nov 09 14:50:49 GMT 2023","Thu Nov 09 14:51:17 GMT 2023","28279","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares Trading] on Auth Role","","","TC_11.02.02_01_Auth  > Test button [Start Trading] in Main banner on 'en' language and 'CYSEC' license",""
"passed","Thu Nov 09 15:07:06 GMT 2023","Thu Nov 09 15:07:27 GMT 2023","20426","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_06_Auth  > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" on 'en' language and 'CYSEC' license",""
"skipped","Thu Nov 09 15:08:12 GMT 2023","Thu Nov 09 15:08:28 GMT 2023","16359","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading]  on UnReg Role","","","TC_11.03.05_03_UnReg  > Test buttons [Trade] on Widget ""Most traded"" on 'en' language and 'CYSEC' license",""
"passed","Thu Nov 09 14:52:46 GMT 2023","Thu Nov 09 14:53:16 GMT 2023","29372","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares Trading] on Auth Role","","","TC_11.02.02_05_Auth  > Test button [Start Trading] in the Content block on 'en' language and 'CYSEC' license",""
"failed","Thu Nov 09 15:20:59 GMT 2023","Thu Nov 09 15:21:21 GMT 2023","21802","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading] on Auth Role","","","TC_11.03.05_05_Auth  > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" on 'en' language and 'CYSEC' license",""
"passed","Thu Nov 09 14:55:23 GMT 2023","Thu Nov 09 14:55:41 GMT 2023","17307","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading]  on UnReg Role","","","TC_11.03.04_06_UnReg  > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" on 'en' language and 'CYSEC' license",""
"passed","Thu Nov 09 14:51:17 GMT 2023","Thu Nov 09 14:51:46 GMT 2023","28900","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares Trading] on Auth Role","","","TC_11.02.02_02_Auth  > Test button [Try Demo] in Main banner on 'en' language and 'CYSEC' license",""
"passed","Thu Nov 09 14:53:34 GMT 2023","Thu Nov 09 14:53:48 GMT 2023","13979","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading]  on UnReg Role","","","TC_11.03.04_02_UnReg  > Test button [Try Demo] in Main banner on 'en' language and 'CYSEC' license",""
"broken","Thu Nov 09 15:17:39 GMT 2023","Thu Nov 09 15:18:09 GMT 2023","30340","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading] on UnAuth Role","","","TC_11.03.05_06_UnAuth  > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" on 'en' language and 'CYSEC' license",""
"passed","Thu Nov 09 15:19:19 GMT 2023","Thu Nov 09 15:19:37 GMT 2023","17945","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading] on Auth Role","","","TC_11.03.05_02_Auth  > Test button [Try Demo] in Main banner on 'en' language and 'CYSEC' license",""
"failed","Thu Nov 09 15:09:29 GMT 2023","Thu Nov 09 15:09:48 GMT 2023","19393","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading]  on UnReg Role","","","TC_11.03.05_05_UnReg  > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" on 'en' language and 'CYSEC' license",""
"broken","Thu Nov 09 15:16:05 GMT 2023","Thu Nov 09 15:16:35 GMT 2023","30373","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading] on UnAuth Role","","","TC_11.03.05_05_UnAuth  > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" on 'en' language and 'CYSEC' license",""
"passed","Thu Nov 09 14:54:03 GMT 2023","Thu Nov 09 14:54:20 GMT 2023","17030","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading]  on UnReg Role","","","TC_11.03.04_04_UnReg  > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  on 'en' language and 'CYSEC' license",""
"passed","Thu Nov 09 15:04:31 GMT 2023","Thu Nov 09 15:04:48 GMT 2023","16544","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_01_Auth  > Test button [Start Trading] in Main banner on 'en' language and 'CYSEC' license",""
"passed","Thu Nov 09 15:10:07 GMT 2023","Thu Nov 09 15:10:20 GMT 2023","13022","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading]  on UnReg Role","","","TC_11.03.05_07_UnReg  > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" on 'en' language and 'CYSEC' license",""
