"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Oct 20 16:52:58 GMT 2023","Fri Oct 20 16:53:16 GMT 2023","18055","chromium","Education/US_11-03-05.spec.js","US_11-05-04_Education > Menu item [Swing Trading] on UnAuth Role","","","TC_11.03.05_01_UnAuth  > Test button [Start Trading] in Main banner on 'es' language",""
"skipped","Fri Oct 20 16:47:53 GMT 2023","Fri Oct 20 16:48:21 GMT 2023","27887","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_05_Auth  > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" on 'es' language",""
"skipped","Fri Oct 20 16:57:25 GMT 2023","Fri Oct 20 16:57:48 GMT 2023","22529","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading] on Auth Role","","","TC_11.03.05_01_Auth  > Test button [Start Trading] in Main banner on 'es' language",""
"skipped","Fri Oct 20 16:51:09 GMT 2023","Fri Oct 20 16:51:36 GMT 2023","26243","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading]  on UnReg Role","","","TC_11.03.05_05_UnReg  > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" on 'es' language",""
"broken","Fri Oct 20 16:34:05 GMT 2023","Fri Oct 20 16:34:35 GMT 2023","30356","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares Trading] on Auth Role","","","TC_11.02.02_02_Auth  > Test button [Try Demo] in Main banner on 'es' language",""
"broken","Fri Oct 20 16:29:15 GMT 2023","Fri Oct 20 16:29:45 GMT 2023","30762","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares trading] on UnAuth Role","","","TC_11.02.02_04_UnAuth  > Test button [Buy] in the Banner [Trading Instrument] on 'es' language",""
"skipped","Fri Oct 20 16:42:26 GMT 2023","Fri Oct 20 16:42:45 GMT 2023","19301","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on UnAuth Role","","","TC_11.03.04_02_UnAuth  > Test button [Try Demo] in Main banner on 'es' language",""
"skipped","Fri Oct 20 16:59:22 GMT 2023","Fri Oct 20 16:59:50 GMT 2023","27940","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading] on Auth Role","","","TC_11.03.05_05_Auth  > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" on 'es' language",""
"skipped","Fri Oct 20 16:41:03 GMT 2023","Fri Oct 20 16:41:26 GMT 2023","23913","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading]  on UnReg Role","","","TC_11.03.04_07_UnReg  > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" on 'es' language",""
"skipped","Fri Oct 20 16:47:16 GMT 2023","Fri Oct 20 16:47:32 GMT 2023","16237","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_03_Auth  > Test buttons [Trade] on Widget ""Most traded"" on 'es' language",""
"skipped","Fri Oct 20 16:42:02 GMT 2023","Fri Oct 20 16:42:26 GMT 2023","23928","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on UnAuth Role","","","TC_11.03.04_01_UnAuth  > Test button [Start Trading] in Main banner on 'es' language",""
"skipped","Fri Oct 20 16:40:09 GMT 2023","Fri Oct 20 16:40:25 GMT 2023","15701","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading]  on UnReg Role","","","TC_11.03.04_04_UnReg  > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  on 'es' language",""
"skipped","Fri Oct 20 16:52:42 GMT 2023","Fri Oct 20 16:52:58 GMT 2023","16486","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading]  on UnReg Role","","","TC_11.03.05_07_UnReg  > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" on 'es' language",""
"skipped","Fri Oct 20 16:58:58 GMT 2023","Fri Oct 20 16:59:22 GMT 2023","24075","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading] on Auth Role","","","TC_11.03.05_04_Auth  > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  on 'es' language",""
"passed","Fri Oct 20 16:19:58 GMT 2023","Fri Oct 20 16:20:27 GMT 2023","29077","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares trading] on UnReg Role","","","TC_11.02.02_03_UnReg  > Test button [Sell] in the Banner [Trading Instrument] on 'es' language",""
"skipped","Fri Oct 20 16:45:40 GMT 2023","Fri Oct 20 16:46:00 GMT 2023","20069","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_01_Auth  > Test button [Start Trading] in Main banner on 'es' language",""
