"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Oct 28 13:37:10 GMT 2023","Sat Oct 28 13:37:11 GMT 2023","980","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading]  on UnReg Role","","","TC_11.03.05_04_UnReg  > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  on 'ar' language",""
"skipped","Sat Oct 28 13:37:45 GMT 2023","Sat Oct 28 13:38:07 GMT 2023","22046","chromium","Education/US_11-03-05.spec.js","US_11-05-04_Education > Menu item [Swing Trading] on UnAuth Role","","","TC_11.03.05_01_UnAuth  > Test button [Start Trading] in Main banner on 'ar' language",""
"skipped","Sat Oct 28 13:38:10 GMT 2023","Sat Oct 28 13:38:11 GMT 2023","1550","chromium","Education/US_11-03-05.spec.js","US_11-05-04_Education > Menu item [Swing Trading] on UnAuth Role","","","TC_11.03.05_04_UnAuth  > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  on 'ar' language",""
"broken","Sat Oct 28 13:27:33 GMT 2023","Sat Oct 28 13:28:04 GMT 2023","30431","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares trading] on UnAuth Role","","","TC_11.02.02_03_UnAuth  > Test button [Sell] in the Banner [Trading Instrument] on 'ar' language",""
"skipped","Sat Oct 28 13:36:54 GMT 2023","Sat Oct 28 13:37:08 GMT 2023","14243","chromium","Education/US_11-03-05.spec.js","US_11-03-05_Education > Menu item [Swing Trading]  on UnReg Role","","","TC_11.03.05_01_UnReg  > Test button [Start Trading] in Main banner on 'ar' language",""
"broken","Sat Oct 28 13:25:58 GMT 2023","Sat Oct 28 13:26:28 GMT 2023","30431","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares trading] on UnAuth Role","","","TC_11.02.02_02_UnAuth  > Test button [Try Demo] in Main banner on 'ar' language",""
"skipped","Sat Oct 28 13:36:23 GMT 2023","Sat Oct 28 13:36:23 GMT 2023","63","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_02_Auth  > Test button [Try Demo] in Main banner on 'ar' language",""
"broken","Sat Oct 28 13:24:24 GMT 2023","Sat Oct 28 13:24:55 GMT 2023","30441","chromium","Education/US_11-02-02.spec.js","US_11-02-02_Education > Menu item [Shares trading] on UnAuth Role","","","TC_11.02.02_01_UnAuth  > Test button [Start Trading] in Main banner on 'ar' language",""
"skipped","Sat Oct 28 13:36:23 GMT 2023","Sat Oct 28 13:36:23 GMT 2023","53","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_05_Auth  > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" on 'ar' language",""
"skipped","Sat Oct 28 13:36:23 GMT 2023","Sat Oct 28 13:36:23 GMT 2023","51","chromium","Education/US_11-03-04.spec.js","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_07_Auth  > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" on 'ar' language",""
